"Statsborgerskap","Norsk/Nordisk","Permanent oppholdstillatelse","Flukt","Arbeid","Utdanning","Familie","Andre","Total"
"Afghanistan","196","154","45","3","0","4","11","413"
"Albania","14","6","0","12","1","1","6","40"
"Algerie","13","0","0","19","1","0","1","34"
"Argentina","11","0","0","7","0","0","2","20"
"Armenia","4","0","0","5","0","0","0","9"
"Aserbajdsjan","3","0","0","6","0","0","0","9"
"Australia","43","3","0","23","1","0","8","78"
"Bangladesh","10","5","1","18","95","1","5","135"
"Bosnia-Hercegovina","26","20","0","30","0","0","0","76"
"Brasil","71","2","0","89","1","23","2","188"
"Burundi","6","1","2","0","0","0","0","9"
"Canada","35","0","0","42","1","4","4","86"
"Chile","12","0","0","2","0","2","1","17"
"Colombia","40","2","0","15","0","1","0","58"
"Cuba","14","0","0","0","0","3","0","17"
"Dem. Rep. Kongo (DRC)","7","3","61","3","0","0","1","75"
"Dominikanske Republikk","6","0","0","0","0","3","0","9"
"Ecuador","4","0","0","4","0","2","0","10"
"Egypt","7","2","0","29","9","0","0","47"
"Eritrea","146","514","306","0","0","3","18","987"
"Etiopia","63","49","9","23","1","5","1","151"
"Filippinene","291","58","0","83","10","38","27","507"
"Gambia","9","1","3","0","0","4","0","17"
"Georgia","4","0","0","2","0","0","1","7"
"Ghana","18","5","0","17","6","0","1","47"
"Guatemala","4","0","0","3","0","0","0","7"
"Hviterussland","7","2","0","15","1","4","1","30"
"India","44","54","0","757","15","2","23","895"
"Indonesia","16","3","0","24","4","2","1","50"
"Irak","57","27","13","3","0","2","11","113"
"Iran","56","21","11","72","113","8","10","291"
"Israel","6","0","0","10","0","0","0","16"
"Japan","23","0","0","38","2","0","1","64"
"Jemen","5","5","16","5","0","0","1","32"
"Jordan","7","0","0","9","0","0","1","17"
"Kambodsja","3","0","0","0","0","2","0","5"
"Kamerun","8","2","3","6","1","2","0","22"
"Kasakhstan","2","0","1","15","4","0","2","24"
"Kenya","24","2","0","6","0","5","1","38"
"Kina","58","30","1","85","11","4","11","200"
"Kosovo","35","15","0","13","0","0","7","70"
"Kuwait","0","0","0","11","0","0","0","11"
"Libanon","11","1","2","11","0","0","2","27"
"Liberia","5","2","0","0","0","0","0","7"
"Libya","1","1","1","3","0","0","0","6"
"Madagaskar","3","0","0","1","0","0","1","5"
"Malaysia","8","1","0","26","1","0","1","37"
"Marokko","61","7","0","2","1","7","1","79"
"Mexico","26","3","0","22","6","0","0","57"
"Moldova","2","1","0","2","0","0","0","5"
"Montenegro","3","5","0","6","0","0","4","18"
"Myanmar","6","0","1","0","0","1","1","9"
"Nepal","13","7","0","25","39","8","6","98"
"New Zealand","6","1","0","5","2","0","5","19"
"Nigeria","15","14","1","24","14","6","1","75"
"Nord-Makedonia","15","8","0","8","0","0","1","32"
"Pakistan","125","40","0","172","109","6","19","471"
"Peru","10","0","0","3","0","1","1","15"
"Russland","99","38","3","78","4","15","13","250"
"Rwanda","7","1","1","0","0","1","0","10"
"Senegal","4","0","0","1","0","0","0","5"
"Serbia","29","61","0","132","1","5","13","241"
"Somalia","118","86","5","0","0","1","9","219"
"Sri Lanka","30","8","0","10","3","0","4","55"
"Statsløs","30","1","26","2","0","2","2","63"
"Storbritannia","72","119","0","117","0","9","343","660"
"Sudan","33","38","15","9","0","0","1","96"
"Syria","16","332","470","2","0","7","14","841"
"Sør-Afrika","12","0","0","28","0","1","2","43"
"Sør-Korea","16","3","0","23","0","1","0","43"
"Sør-Sudan","0","1","14","0","0","1","0","16"
"Tanzania","9","2","0","4","0","1","0","16"
"Thailand","241","27","0","5","1","62","3","339"
"Trinidad og Tobago","1","0","0","4","0","2","0","7"
"Tunisia","15","1","0","7","2","1","2","28"
"Tyrkia","91","20","71","71","6","6","10","275"
"Uganda","10","0","4","7","1","3","0","25"
"Ukraina","64","23","0","77","2","14","7","187"
"USA","220","18","0","249","28","13","13","541"
"Usbekistan","4","6","0","0","0","0","1","11"
"Venezuela","8","1","0","4","0","1","0","14"
"Vietnam","62","3","0","15","4","13","1","98"
"Zimbabwe","3","0","0","3","0","0","0","6"
"EØS","78","12","1","31","0","2","18","142"
"Andre","45","3","0","19","2","4","2","75"
"Total","3 035","1 881","1 087","2 712","503","319","660","10 197"
